| table_name                         | column_name                | data_type                   | description                                                                                                                                                                                                    | constraint_type | key_name                                                | key_column                | foreign_table                      | foreign_column            |
| dim_ingredient_restaurant_supplier | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | ingredient_restaurant_supplier_unique                   | restaurant_uuid           | dim_ingredient_restaurant_supplier | supplier_uuid             |
| dim_ingredient_restaurant_supplier | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | ingredient_restaurant_supplier_unique                   | restaurant_uuid           | dim_ingredient_restaurant_supplier | unit_uuid                 |
| dim_ingredient_restaurant_supplier | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | ingredient_restaurant_supplier_unique                   | restaurant_uuid           | dim_ingredient_restaurant_supplier | restaurant_uuid           |
| dim_ingredient_restaurant_supplier | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | idx_dim_ingredient_restaurant_supplier_unique           | restaurant_uuid           | dim_ingredient_restaurant_supplier | ingredient_uuid           |
| dim_ingredient_restaurant_supplier | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | idx_dim_ingredient_restaurant_supplier_unique           | restaurant_uuid           | dim_ingredient_restaurant_supplier | supplier_uuid             |
| dim_ingredient_restaurant_supplier | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | idx_dim_ingredient_restaurant_supplier_unique           | restaurant_uuid           | dim_ingredient_restaurant_supplier | unit_uuid                 |
| dim_ingredient_restaurant_supplier | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | idx_dim_ingredient_restaurant_supplier_unique           | restaurant_uuid           | dim_ingredient_restaurant_supplier | restaurant_uuid           |
| dim_ingredient_restaurant_supplier | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_ingredient_restaurant_supplier_restaurant_uuid_fkey | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_ingredient_restaurant_supplier | supplier_uuid              | uuid                        |                                                                                                                                                                                                                | UNIQUE          | ingredient_restaurant_supplier_unique                   | supplier_uuid             | dim_ingredient_restaurant_supplier | ingredient_uuid           |
| dim_ingredient_restaurant_supplier | supplier_uuid              | uuid                        |                                                                                                                                                                                                                | UNIQUE          | ingredient_restaurant_supplier_unique                   | supplier_uuid             | dim_ingredient_restaurant_supplier | supplier_uuid             |
| dim_ingredient_restaurant_supplier | supplier_uuid              | uuid                        |                                                                                                                                                                                                                | UNIQUE          | ingredient_restaurant_supplier_unique                   | supplier_uuid             | dim_ingredient_restaurant_supplier | unit_uuid                 |
| dim_ingredient_restaurant_supplier | supplier_uuid              | uuid                        |                                                                                                                                                                                                                | UNIQUE          | ingredient_restaurant_supplier_unique                   | supplier_uuid             | dim_ingredient_restaurant_supplier | restaurant_uuid           |
| dim_ingredient_restaurant_supplier | supplier_uuid              | uuid                        |                                                                                                                                                                                                                | UNIQUE          | idx_dim_ingredient_restaurant_supplier_unique           | supplier_uuid             | dim_ingredient_restaurant_supplier | ingredient_uuid           |
